name,locality,cuisine,price_per_person,overall_rating,food,service,ambiance,reviews,noise,dining_style,latitude,longitude,url
Sushi Nakazawa - Dining Room,West Village,Sushi,$$$,4.7,4.7,4.7,4.4,4336,Moderate,Fine Dining,40.7318046,-74.0045493,https://www.kayak.com/New-York-Restaurants-Sushi-Nakazawa-Sushi-Bar.100003881.rd.ksp
Il Cantinori,Manhattan,Italian,$$$,4.8,4.7,4.8,4.8,282,Moderate,Fine Dining,40.7322893,-73.9931321,https://www.kayak.com/New-York-Restaurants-Il-Cantinori.100993854.rd.ksp
Babbo Ristorante,Manhattan,Italian,$$$,4.7,4.7,4.7,4.5,466,Moderate,Casual Elegant,40.7323821,-73.9991969,https://www.kayak.com/New-York-Restaurants-Babbo-Ristorante.100011043.rd.ksp
"One if by Land, Two if by Sea",West Village,American,$$$,4.7,4.6,4.8,4.8,313,Moderate,Fine Dining,40.732548,-74.0026278,https://www.kayak.com/New-York-Restaurants-One-if-by-Land-Two-if-by-Sea.100013252.rd.ksp
Omakase Room by Tatsu,West Village,Japanese,$$$,4.8,4.8,4.9,4.6,1114,Low,Fine Dining,40.733832,-74.000429,https://www.kayak.com/New-York-Restaurants-Omakase-Room.100039605.rd.ksp
Casa La Femme,West Village,Egyptian,$$$,4.1,4,3.9,4.4,1500,Moderate,Casual Elegant,40.7339454,-74.0081223,https://www.kayak.com/New-York-Restaurants-Casa-La-Femme.100018785.rd.ksp
Strip House,Manhattan,Steak,$$$,4.8,4.8,4.7,4.7,335,Moderate,Fine Dining,40.73446765,-73.99334274,https://www.kayak.com/New-York-Restaurants-Strip-House.100012905.rd.ksp
Craft,Gramercy,American,$$$,4.7,4.7,4.7,4.7,356,Moderate,Casual Elegant,40.7381171,-73.9886874,https://www.kayak.com/New-York-Restaurants-Craft.100010879.rd.ksp
Mari Vanna,Gramercy,Eastern European,$$$,4.7,4.7,4.7,4.8,203,Moderate,Casual Elegant,40.7387966,-73.9885656,https://www.kayak.com/New-York-Restaurants-Mari-Vanna.100013458.rd.ksp
Yakiniku Futago,Chelsea,Japanese,$$$,4.8,4.8,4.7,4.7,113,Moderate,Fine Dining,40.7389084,-73.9940515,https://www.kayak.com/New-York-Restaurants-Yakiniku-Futago.100023379.rd.ksp
